,AVG_INCOME_USD,country,rural_urban,REMESA_AMOUNT_USD,REMESA_AMOUNT_REGPERMONTH,pct_remit_towards_Foodpurchase,pct_remit_towards_Healthexpenses(medicines/medicalconsultation),"pct_remit_towards_ExpensesrelatedtoCOVID-19(protectionsupplies,medicalconsultation,medicines)",pct_remit_towards_Educationexpenses,"pct_remit_towards_Paymentofservices(water,electricity,cable,internet,communication)",pct_remit_towards_Clothesandshoes,pct_remit_towards_Housing(constructionorrepair),pct_remit_towards_Housingrentalfee,pct_remit_towards_Homepurchasefee,pct_remit_towards_Purchaseofagriculturalinputs,pct_remit_towards_Business(trade),pct_remit_towards_Saving,pct_remit_towards_Paymentofcommitmentsofmembersresidingabroad,pct_remit_towards_Paymentofthesender'straveldebt,pct_remit_towards_Paymentofotherdebts,pct_remit_towards_Other
3503,80.0,SLV,1,100.0,100.0,100.0,,,,,,,,,,,,,,,
3507,180.0,SLV,1,100.0,33.333333333333336,100.0,,,,,,,,,,,,,,,
3509,50.0,SLV,1,50.0,16.666666666666668,100.0,,,,,,,,,,,,,,,
3517,800.0,SLV,2,150.0,645.0,,,,,,,,,,,,,,,,
3531,200.0,SLV,1,200.0,16.666666666666668,70.0,,,,30.0,,,,,,,,,,,
3534,47.437,HND,1,120.0,60.0,50.0,50.0,,,,,,,,,,,,,,
3537,26.65,HND,1,26.65,26.65,,,,,,,,,,,,,,,,
3539,70.0,SLV,1,100.0,16.666666666666668,100.0,,,,,,,,,,,,,,,
3540,360.0,SLV,1,50.0,16.666666666666668,50.0,,,,,,,,,25.0,,,,,,25.0
3544,80.0,SLV,2,50.0,50.0,50.0,25.0,,,25.0,,,,,,,,,,,
3547,1000.0,SLV,2,250.0,41.66666666666666,50.0,50.0,,,,,,,,,,,,,,
3550,500.0,SLV,2,60.0,10.0,100.0,,,,,,,,,,,,,,,
3551,600.0,SLV,2,200.0,200.0,50.0,,,,50.0,,,,,,,,,,,
3555,275.0,SLV,2,200.0,400.0,,100.0,,,,,,,,,,,,,,
3567,500.0,SLV,2,200.0,400.0,80.0,,,,20.0,,,,,,,,,,,
3568,100.0,SLV,2,50.0,4.166666666666667,100.0,,,,,,,,,,,,,,,
3570,150.0,SLV,1,60.0,30.0,100.0,,,,,,,,,,,,,,,
3574,120.0,SLV,1,100.0,50.0,75.0,,,,25.0,,,,,,,,,,,
3577,100.0,SLV,2,100.0,33.333333333333336,50.0,,,,50.0,,,,,,,,,,,
3578,80.0,SLV,2,50.0,8.333333333333334,30.0,,,,70.0,,,,,,,,,,,
3580,150.0,SLV,2,100.0,100.0,60.0,20.0,,,20.0,,,,,,,,,,,
3581,50.0,SLV,2,50.0,100.0,100.0,,,,,,,,,,,,,,,
3586,150.0,SLV,1,200.0,200.0,50.0,,,,10.0,,,,,,,,,40.0,,
3587,100.0,SLV,1,100.0,50.0,50.0,50.0,,,,,,,,,,,,,,
3589,150.0,SLV,1,100.0,16.666666666666668,,,,,,,,,,,,,,,,
3590,250.0,SLV,1,100.0,100.0,20.0,80.0,,,,,,,,,,,,,,
3598,300.0,SLV,1,300.0,300.0,,,,,,50.0,,,,,,,,,,50.0
3604,160.0,SLV,2,100.0,33.333333333333336,50.0,50.0,,,,,,,,,,,,,,
3606,120.0,SLV,2,60.0,30.0,,,,,,,,,,,,,,,,
3607,150.0,SLV,2,150.0,150.0,60.0,40.0,,,,,,,,,,,,,,
3610,150.0,SLV,2,200.0,100.0,20.0,80.0,,,,,,,,,,,,,,
3613,250.0,SLV,2,100.0,50.0,20.0,50.0,,,30.0,,,,,,,,,,,
3617,250.0,SLV,1,75.0,25.0,50.0,50.0,,,,,,,,,,,,,,
3618,250.0,SLV,2,350.0,350.0,100.0,,,,,,,,,,,,,,,
3621,400.0,SLV,2,200.0,200.0,,,,,75.0,,,,,,25.0,,,,,
3627,300.0,SLV,2,300.0,600.0,50.0,,,,20.0,,30.0,,,,,,,,,
3631,200.0,SLV,2,160.0,160.0,,100.0,,,,,,,,,,,,,,
3635,30.0,SLV,2,150.0,150.0,,75.0,,,25.0,,,,,,,,,,,
3645,60.0,SLV,2,50.0,50.0,,,,,,,,,,,,,,,,
3646,200.0,SLV,1,25.0,8.333333333333334,100.0,,,,,,,,,,,,,,,
3647,450.0,SLV,1,75.0,37.5,,,,,100.0,,,,,,,,,,,
3650,375.0,SLV,1,200.0,200.0,,,,,,,,,,,,,,,100.0,
3651,400.0,SLV,1,100.0,100.0,,100.0,,,,,,,,,,,,,,
3652,200.0,SLV,2,100.0,100.0,70.0,10.0,,,,,,,,,,,,,,20.0
3653,150.0,SLV,2,50.0,50.0,80.0,,,,20.0,,,,,,,,,,,
3654,600.0,SLV,2,200.0,200.0,50.0,,,,40.0,,,,,,10.0,,,,,
3656,360.0,SLV,2,100.0,200.0,60.0,,,,40.0,,,,,,,,,,,
3657,800.0,SLV,1,200.0,200.0,75.0,10.0,,,5.0,,,,,,,,,,,
3667,200.0,SLV,1,50.0,16.666666666666668,50.0,,,,25.0,,,,,,,25.0,,,,
3669,100.0,SLV,1,100.0,33.333333333333336,50.0,25.0,,,25.0,,,,,,,,,,,
3670,600.0,SLV,1,300.0,300.0,,,,,100.0,,,,,,,,,,,
3673,600.0,SLV,1,300.0,300.0,50.0,50.0,,,,,,,,,,,,,,
3675,150.0,SLV,1,50.0,50.0,50.0,25.0,,,25.0,,,,,,,,,,,
3678,50.0,SLV,1,50.0,50.0,100.0,0.0,,,,,,,,,,,,,,
3681,200.0,SLV,1,100.0,50.0,80.0,20.0,,,,,,,,,,,,,,
3682,37.31,HND,2,37.31,37.31,90.0,10.0,,,,,,,,,,,,,,
3695,2.665,GT,1,150.0,12.5,,,,,,,100.0,,,,,,,,,
3697,4.264,GT,1,100.0,100.0,,100.0,,,,,,,,,,,,,,
3702,26.65,GT,1,5000.0,5000.0,50.0,,,,50.0,,,,,,,,,,,
3706,95.94,HND,2,24.518,24.518,60.0,,,20.0,,,,20.0,,,,,,,,
3718,42.64,GT,2,200.0,66.66666666666667,,,,,,,,,,,,,,,,
3719,39.975,GT,2,1000.0,500.0,,,,,,,,,,,,,,,,
3720,18.655,GT,2,500.0,500.0,50.0,25.0,,,25.0,,,,,,,,,,,
3724,43.706,HND,1,13.325,4.441666666666667,,100.0,,,,,,,,,,,,,,
3728,15.99,HND,1,6.396000000000001,3.1980000000000004,50.0,50.0,,,,,,,,,,,,,,
3729,37.31,HND,1,6.396000000000001,27.5028,100.0,,,,,,,,,,,,,,,
3735,15.99,GT,2,10.66,10.66,60.0,,,,20.0,20.0,,,,,,,,,,
3737,15.99,GT,2,15.99,15.99,20.0,70.0,,,10.0,,,,,,,,,,,
3738,37.31,GT,2,13.325,6.6625000000000005,30.0,60.0,,,10.0,,,,,,,,,,,
3739,31.98,GT,2,7.995,3.9975,60.0,,,,30.0,10.0,,,,,,,,,,
3779,23.985,GT,2,7.462000000000001,3.731,50.0,25.0,25.0,,,,,,,,,,,,,
3803,21.32,GT,2,21.32,42.64,25.0,,,,,,,,,,,75.0,,,,
3807,13.325,GT,2,3.9975,3.9975,75.0,,25.0,,,,,,,,,,,,,
3815,106.6,HND,2,500.0,500.0,30.0,50.0,,,,,,,,,,20.0,,,,
3816,15.99,GT,2,3.731,3.731,,,,,,,,,,,,,,,,
3820,26.65,GT,2,5.33,1.7766666666666666,,100.0,,,,,,,,,,,,,,
3822,26.65,GT,2,7.995,1.3325,50.0,25.0,,,,25.0,,,,,,,,,,
3826,31.98,GT,2,7.995,2.665,60.0,,,,40.0,,,,,,,,,,,
3830,13.325,HND,1,150.0,75.0,,,,,,,,,,,,,,,,
3832,13.325,HND,1,100.0,100.0,,,,,,,,,,,,,,,,
3840,7.462000000000001,GT,2,5.33,5.33,50.0,,,,,50.0,,,,,,,,,,
3842,300.0,SLV,1,200.0,100.0,80.0,,,,20.0,10.0,,,,,,,,,,
3852,300.0,HND,1,19.38521,38.77042,50.0,40.0,,,10.0,,,,,,,,,,,
3853,100.0,SLV,1,100.0,100.0,,100.0,,,,,,,,,,,,,,
3865,70.0,SLV,1,50.0,4.166666666666667,100.0,,,,,,,,,,,,,,,
3867,50.0,SLV,1,50.0,50.0,30.0,,,,70.0,,,,,,,,,,,
3874,26.65,GT,2,10.66,10.66,50.0,,,,25.0,,25.0,,,,,,,,,
3875,5.33,GT,2,5.33,2.665,,,,,,,,,,,,,,,,
3880,23.985,HND,1,5.33,0.4441666666666666,100.0,,,,,,,,,,,,,,,
3886,14.924,GT,2,4.264,4.264,50.0,,,,,50.0,,,,,,,,,,
3892,10.66,HND,1,6.396000000000001,3.1980000000000004,100.0,,,,,,,,,,,,,,,
3900,150.0,SLV,1,150.0,150.0,60.0,15.0,,,25.0,,,,,,,,,,,
3901,300.0,SLV,1,50.0,50.0,100.0,,,,,,,,,,,,,,,
3902,360.0,SLV,1,100.0,100.0,70.0,,,,30.0,,,,,,,,,,,
3904,60.0,SLV,1,60.0,20.0,,,,,100.0,,,,,,,,,,,
3905,280.0,SLV,1,30.0,10.0,50.0,50.0,,,,,,,,,,,,,,
3908,250.0,SLV,1,80.0,26.666666666666668,60.0,,18.0,,22.0,,,,,,,,,,,
3909,150.0,SLV,1,100.0,100.0,50.0,20.0,,,30.0,,,,,,,,,,,
3912,300.0,SLV,1,200.0,200.0,50.0,,25.0,,25.0,,,,,,,,,,,
3914,300.0,SLV,2,200.0,100.0,60.0,,,,30.0,10.0,,,,,,,,,,
3915,150.0,SLV,1,200.0,200.0,,,,,,,,,,,,,,,,
3919,250.0,SLV,1,150.0,12.5,70.0,30.0,,,,,,,,,,,,,,
3920,300.0,SLV,1,200.0,200.0,60.0,30.0,,10.0,,,,,,,,,,,,
3925,350.0,SLV,2,150.0,50.0,80.0,,,,20.0,,,,,,,,,,,
3931,300.0,SLV,1,100.0,200.0,80.0,,,,20.0,,,,,,,,,,,
3933,190.0,SLV,1,500.0,500.0,30.0,50.0,,,20.0,,,,,,,,,,,
3935,800.0,SLV,1,400.0,800.0,50.0,20.0,,30.0,,,,,,,,,,,,
3936,275.0,SLV,1,60.0,30.0,100.0,,,,,,,,,,,,,,,
3939,90.61,HND,1,150.0,300.0,50.0,35.0,,,15.0,,,,,,,,,,,
3940,350.0,SLV,1,150.0,150.0,50.0,25.0,,,25.0,,,,,,,,,,,
3945,300.0,SLV,1,50.0,8.333333333333334,50.0,,,,50.0,,,,,,,,,,,
3952,200.0,SLV,1,600.0,1200.0,,,,,,,,,,,,,,,,
3955,300.0,SLV,2,200.0,100.0,50.0,30.0,,,20.0,,,,,,,,,,,
3956,300.0,SLV,1,50.0,8.333333333333334,30.0,50.0,,,20.0,,,,,,,,,,,
3959,250.0,SLV,1,20.0,20.0,100.0,,,,,,,,,,,,,,,
3960,200.0,SLV,1,100.0,16.666666666666668,100.0,,,,,,,,,,,,,,,
3961,250.0,SLV,1,250.0,250.0,,100.0,,,,,,,,,,,,,,
3968,60.0,SLV,1,30.0,15.0,,,,,30.0,,,,,,,,,,,
3970,200.0,SLV,1,50.0,50.0,,,,,,,,,,,,,,,,
3975,200.0,SLV,1,50.0,50.0,100.0,,,,,,,,,,,,,,,
3978,300.0,SLV,1,200.0,200.0,40.0,,,,60.0,,,,,,,,,,,
3980,420.0,SLV,1,300.0,300.0,60.0,,,,40.0,,,,,,,,,,,
3989,120.0,SLV,1,60.0,10.0,100.0,,,,,,,,,,,,,,,
3990,150.0,SLV,1,100.0,100.0,,,,,,,,,,,,,,,,
3991,500.0,SLV,1,500.0,500.0,40.0,40.0,,,20.0,,,,,,,,,,,
3993,400.0,SLV,1,50.0,4.166666666666667,30.0,70.0,,,,,,,,,,,,,,
3995,150.0,SLV,1,120.0,240.0,60.0,20.0,20.0,,,,,,,,,,,,,
3999,300.0,SLV,1,200.0,33.333333333333336,50.0,,,,,,50.0,,,,,,,,,
4000,300.0,SLV,1,100.0,33.333333333333336,50.0,,,,50.0,,,,,,,,,,,
4004,200.0,SLV,1,100.0,200.0,90.0,10.0,,,,,,,,,,,,,,
4006,150.0,SLV,1,100.0,100.0,100.0,,,,,,,,,,,,,,,
4013,100.0,SLV,1,100.0,100.0,70.0,,,,30.0,,,,,,,,,,,
4014,1200.0,SLV,1,100.0,100.0,,,,,70.0,,,,,,,,,,30.0,
4021,270.0,SLV,2,75.0,37.5,100.0,,,,,,,,,,,,,,,
4027,100.0,SLV,2,100.0,16.666666666666668,28.0,,,,68.0,,,,,,,,,,,
4029,500.0,SLV,2,300.0,300.0,80.0,,,,20.0,,,,,,,,,,,
4037,200.0,SLV,2,40.0,6.666666666666667,20.0,,,,,,,,,,,,,,,
4042,21.32,HND,2,100.0,33.333333333333336,8.0,,,,20.0,,,,,,,,,,,
4045,106.6,HND,2,53.3,229.19,,,,,,,,,,,,,,,,
4061,5.33,GT,1,15.99,15.99,50.0,,,,25.0,,,,,25.0,,,,,,
4062,8.528,GT,1,3.9975,0.66625,50.0,50.0,,,,,,,,,,,,,,
4078,10.66,GT,1,1.599,0.7995,50.0,,,,50.0,,,,,,,,,,,
4079,9.061,GT,1,50.0,16.666666666666668,100.0,,,,,,,,,,,,,,,
4084,85.28,HND,1,300.0,600.0,50.0,50.0,,,,,,,,,,,,,,
4096,7.462000000000001,GT,2,6.396,12.792,40.0,,20.0,,40.0,,,,,,,,,,,
4099,15.99,GT,2,3.9975,3.9975,50.0,,,,50.0,,,,,,,,,,,
4101,63.96,GT,2,13.325,13.325,100.0,,,,,,,,,,,,,,,
4102,42.64,GT,2,15.99,15.99,70.0,,,,,,30.0,,,,,,,,,
4104,5.33,GT,2,53.3,53.3,,,,,,,,,,,,,,,,
4105,15.99,HND,1,10.66,10.66,,,,,,,100.0,,,,,,,,,
4140,21.32,HND,1,21.32,21.32,50.0,50.0,,,,,,,,,,,,,,
4152,7.995,GT,1,5.33,0.8883333333333333,70.0,30.0,,,,,,,,,,,,,,
4156,6.929,GT,1,6.396,6.396,100.0,,,,,,,,,,,,,,,
4160,7.995,GT,1,7.995,3.9975,75.0,,25.0,,,,,,,,,,,,,
4161,5.33,GT,1,5.33,5.33,100.0,,,,,,,,,,,,,,,
4168,7.995,GT,2,2.132,0.3553333333333333,100.0,,,,,,,,,,,,,,,
4169,7.1955,GT,2,7.995,1.3325,,100.0,,,,,,,,,,,,,,
4170,10.66,GT,2,2.665,0.8883333333333333,100.0,,,,,,,,,,,,,,,
4173,42.64,HND,2,100.0,8.333333333333334,50.0,,,,10.0,40.0,,,,,,,,,,
4182,14.924,GT,1,3.8909,3.8909,60.0,,,,20.0,20.0,,,,,,,,,,
4183,15.99,GT,1,11.193,5.5965,30.0,50.0,,,20.0,,,,,,,,,,,
4187,13.325,GT,1,200.0,400.0,70.0,30.0,,,,,,,,,,,,,,
4188,10.66,GT,1,200.0,200.0,75.0,25.0,,,,,,,,,,,,,,
4202,7.995,GT,1,2.132,0.7106666666666667,100.0,,,,,,,,,,,,,,,
4207,200.0,SLV,1,100.0,50.0,50.0,25.0,,,25.0,,,,,,,,,,,
4209,23.985,HND,2,10.66,45.838,,,,,,,,,,,,,,,,
4280,1.599,GT,1,100.0,8.333333333333334,,50.0,,,,,,,,50.0,,,,,,
4282,74.62,GT,1,2000.0,2000.0,30.0,,,,,20.0,,,,,,50.0,,,,
4292,19.721,GT,1,100.0,100.0,60.0,25.0,,,,15.0,,,,,,,,,,
4299,79.95,GT,1,10.66,1.7766666666666666,,,,,,,,,,,,100.0,,,,
4300,5.33,GT,1,15.99,15.99,75.0,,,10.0,15.0,,,,,,,,,,,
4304,10.66,GT,1,3.731,0.6218333333333333,25.0,,25.0,,25.0,,,,,,,,,,,
4307,26.65,GT,1,59.962500000000006,19.9875,60.0,40.0,,,,,,,,,,,,,,
4326,10.66,GT,1,10.66,10.66,50.0,25.0,,,,,,,,25.0,,,,,,
4327,26.65,GT,1,21.32,3.553333333333333,50.0,25.0,,,,,,,,,,25.0,,,,
4335,18.655,GT,1,3.731,1.2436666666666667,75.0,,,,25.0,,,,,,,,,,,
4350,31.98,GT,1,5.33,0.4441666666666666,100.0,,,,,,,,,,,,,,,
4352,18.655,GT,1,18.655,18.655,50.0,30.0,,,20.0,,,,,,,,,,,
4375,21.32,GT,2,10.66,3.553333333333333,50.0,,,,50.0,,,,,,,,,,,
4383,9.594,GT,2,2.665,0.2220833333333333,80.0,,,,,20.0,,,,,,,,,,
4387,6.6625000000000005,GT,2,150.0,150.0,80.0,,,,10.0,10.0,,,,,,,,,,
4440,85.28,GT,1,2000.0,2000.0,5.0,,,,5.0,,,,,,,90.0,,,,
4445,24.518,HND,2,9.594,4.797,80.0,,,,,,,,,,,,,,,
4447,42.64,HND,2,15.99,15.99,75.0,,,,,,,,,,,,,,,
4454,9.594,GT,1,1.599,0.533,100.0,,,,,,,,,,,,,,,
4476,7.995,GT,1,2.132,0.7106666666666667,80.0,,,,20.0,,,,,,,,,,,
4512,15.99,GT,1,15.99,31.98,100.0,,,,,,,,,,,,,,,
4514,7.995,GT,1,2.665,2.665,80.0,,,,,20.0,,,,,,,,,,
4519,42.64,GT,2,1200.0,1200.0,,,,,,,,,,,,,,,,
4523,29.848000000000003,GT,2,18.655,18.655,50.0,,,35.0,,15.0,,,,,,,,,,
4524,26.65,GT,2,18.655,18.655,15.0,,,20.0,65.0,,,,,,,,,,,
4526,6.929,GT,1,6.929,6.929,60.0,,10.0,30.0,,,,,,,,,,,,
4534,15.99,GT,1,1.599,0.7995,100.0,,,,,,,,,,,,,,,
4538,15.99,GT,1,2.132,1.066,50.0,,,,50.0,,,,,,,,,,,
4544,9.594,GT,1,3.731,3.731,50.0,50.0,,,,,,,,,,,,,,
4546,26.65,GT,2,21.32,42.64,70.0,10.0,,,15.0,,,,,,,,,,,
4547,37.31,GT,2,26.65,26.65,50.0,30.0,,,10.0,,,,,,,,,,,
4557,18.655,HND,1,18.655,6.218333333333334,30.0,50.0,,,10.0,,,,,,,,,,,
4560,38.376,HND,1,50.0,50.0,,100.0,,,,,,,,,,,,,,
4567,106.6,HND,1,200.0,200.0,50.0,30.0,,,20.0,,,,,,,,,,,
4568,200.0,HND,1,200.0,200.0,30.0,50.0,,,20.0,,,,,,,,,,,
4569,26.65,HND,1,200.0,66.66666666666667,50.0,,,,50.0,,,0.0,,,,,,,,
4575,6.396,GT,1,3.731,3.731,50.0,,,,50.0,,,,,,,,,,,
4582,7.995,GT,1,4.1574,0.34645,60.0,40.0,,,,,,,,,,,,,,
4592,5.33,GT,2,7.995,7.995,100.0,,,,,,,,,,,,,,,
4594,2.665,GT,2,2.665,0.2220833333333333,100.0,,,,,,,,,,,,,,,
4595,23.985,GT,2,10.66,5.33,75.0,,,,,25.0,,,,,,,,,,
4599,10.66,GT,2,7.995,15.99,,,,,,,,,,,,,,100.0,,
4607,15.99,GT,2,13.325,13.325,75.0,,,,25.0,,,,,,,,,,,
4628,26.65,HND,1,18.655,9.3275,100.0,,,,,,,,,,,,,,,
4629,23.452,HND,1,23.452,23.452,100.0,,,,,,,,,,,,,,,
4643,6.396000000000001,HND,1,50.0,50.0,,,,,,,,,,,,,,,,
4661,69.29,HND,2,63.96,63.96,30.0,,,,50.0,,,20.0,,,,,,,,
4663,10.66,HND,2,10.66,10.66,70.0,30.0,,,,,,,,,,,,,,
4666,69.29,HND,2,40.0,6.666666666666667,100.0,,,,,,,,,,,,,,,
4697,13.325,GT,1,15.99,15.99,75.0,,,,25.0,,,,,,,,,,,
4712,7.462000000000001,GT,1,7.462000000000001,14.924,50.0,,,,,20.0,,,,,,,,30.0,,
4720,26.65,GT,1,10.66,21.32,75.0,,,,25.0,,,,,,,,,,,
4726,10.66,GT,1,3.198,1.066,50.0,50.0,,,,,,,,,,,,,,
4730,6.396,GT,1,3.731,1.2436666666666667,30.0,,,30.0,40.0,,,,,,,,,,,
4740,10.66,GT,1,2500.0,1250.0,90.0,,,,,10.0,,,,,,,,,,
4748,13.325,GT,1,7.995,3.9975,75.0,,,,5.0,,20.0,,,,,,,,,
4749,3.731,GT,1,18.655,6.218333333333334,20.0,80.0,,,,,,,,,,,,,,
4755,26.65,GT,1,3.731,1.2436666666666667,50.0,,,,25.0,25.0,,,,,,,,,,
4774,10.66,GT,1,0.7462,0.7462,100.0,,,,,,,,,,,,,,,
4775,3.9975,GT,1,3.731,3.731,50.0,,,,,25.0,,,,25.0,,,,,,
4777,6.929,GT,1,3.9975,0.66625,75.0,,,,,25.0,,,,,,,,,,
4781,5.33,GT,1,3.731,1.8655,100.0,,,,,,,,,,,,,,,
4792,13.325,GT,1,3.9975,3.9975,65.0,,,,,20.0,,,,15.0,,,,,,
4853,36.244,HND,1,5.33,22.919,100.0,,,,,,,,,,,,,,,
4879,10.66,HND,1,50.0,50.0,100.0,,,,,,,,,,,,,,,
4901,11.193,HND,1,7.995,7.995,,80.0,,,,,,,,,,,,,,
4917,38.376,HND,2,21.32,10.66,50.0,30.0,,,20.0,,,,,,,,,,,
4946,39.975,GT,1,250.0,500.0,50.0,,,10.0,40.0,,,,,,,,,,,
4960,500.0,SLV,1,50.0,4.166666666666667,100.0,,,,,,,,,,,,,,,
4962,175.0,SLV,1,75.0,150.0,,100.0,,,,,,,,,,,,,,
4967,100.0,SLV,1,150.0,75.0,100.0,,,,,,,,,,,,,,,
4975,37.31,HND,1,100.0,100.0,70.0,,,,30.0,,,,,,,,,,,
4986,5.33,GT,1,7.462000000000001,14.924,50.0,50.0,,,,,,,,,,,,,,
4989,14.924,GT,2,7.462000000000001,3.731,75.0,25.0,,,,,,,,,,,,,,
